N_CAT	ANO	MÊS	N	TÍTULO	AUTOR	EDITORA	CATEGORIA	VENDAS	ISBN	Num_Pag	url_img
11	2013	3	13	Fazendo Meu Filme 1 - A Estreia De Fani	Paula Pimenta	Gutenberg	11	1.335	978-85-89239-84-4	336	https://www.publishnews.com.br/estaticos/uploads/livro/fazendomeufilme.jpg
11	2013	3	14	Diário De Um Banana - A Verdade Nua E Crua	Jeff Kinney	Vr Editora	11	1.170	978-85-76833-07-9	224	https://www.publishnews.com.br/estaticos/uploads/livro/22858421.jpg
11	2013	3	15	Depois Dos Quinze	Bruna Vieira	Gutenberg	11	1.118	978-85-82350-13-3	200	https://www.publishnews.com.br/estaticos/uploads/livro/depoisdosquinze.jpg
11	2013	3	16	As Melhores Piadas Para Crianças	Luiz Aviz	Bestbolso	11	672	978-85-81030-31-9	144	https://www.publishnews.com.br/estaticos/uploads/livro/piadascriancas.jpg
11	2013	3	17	Minha Primeira Bíblia	Padre Reginaldo Manzotti	Agir	11	644	978-85-22013-49-4	384	https://www.publishnews.com.br/estaticos/uploads/livro/primeirabiblia.jpg
11	2013	3	18	O Mar De Monstros	Rick Riordan	Intrínseca	11	641	978-85-98078-44-1	304	https://www.publishnews.com.br/estaticos/uploads/livro/20100920111318129-2052156165.jpg
11	2013	3	19	Minhas Princesas	Disney	Melhoramentos	11	463	978-85-06069-41-7	12	https://www.publishnews.com.br/estaticos/uploads/livro/minhasprincesas.jpg
11	2013	3	20	Minie	Disney	Melhoramentos	11	393	978-85-06069-20-2	12	https://www.publishnews.com.br/estaticos/uploads/livro/minie.jpg
8	2013	3	1	O Monge E O Executivo	James Hunter	Sextante	8	6.468	978-85-75421-02-4	144	https://www.publishnews.com.br/estaticos/uploads/2015/07/CjlXUUI3ZPUy92oz4ZzL2KrFM4hpsZq0xmyZ6OgxEP1JIhPZyI1hSo9pNO64bk2kI23nw1kQtwtkfLRE.jpg
8	2013	3	2	Desperte O Milionário Que Há Em Você	Carlos Wizard Martins	Gente	8	6.387	978-85-73127-83-6	160	https://www.publishnews.com.br/estaticos/uploads/livro/desperte.jpg
8	2013	3	3	As 25 Leis Bíblicas Do Sucesso	William Douglas / Rubens Teixeira	Sextante	8	4.591	978-85-75428-69-6	192	https://www.publishnews.com.br/estaticos/uploads/2015/07/ccNcxJTrGgfJ03WvaZ8JyAaZzsY0dd6YKeEMGv1tHY6O1fe0GhNTiRVxNHbA7gKFtZu4lf9sw2hK7CQu.jpg
8	2013	3	4	Os Segredos Da Mente Milionária	T. Harv Eker	Sextante	8	3.084	978-85-75422-39-7	176	https://www.publishnews.com.br/estaticos/uploads/2015/08/flQqYuiyxm1OThx3kMyaVlegJFP98SPiBIeASQRjroLrR6Sh47nP2JAYg05VAjpOHBktd85lsxQf6PvK.jpg
8	2013	3	5	Qual É A Tua Obra?	Mario Sergio Cortella	Vozes	8	1.659	978-85-32635-79-2	144	https://www.publishnews.com.br/estaticos/uploads/2015/07/qsWxGFyRw0xe13K1og0dE0UyGvIDwZkTtzCE0JzY3LSJsXfhF27bUDz8ueWKsuiR19lOd8n6dlmyjzh4.jpg
8	2013	3	6	A Arte Da Guerra - Os Treze Capítulos Originais	Sun Tzu	Jardim Dos Livros	8	1.638	978-85-60018-00-0	160	https://www.publishnews.com.br/estaticos/uploads/2015/08/iCgVcopEp5XnnbCzzOG4s7uQEge9i55bSOElk1qAfFpMVMX9Kahm9EW9mBUvQhLd4kWJbfvRDsHovcfq.jpg
8	2013	3	7	Pai Rico, Pai Pobre	Robert T. Kiyosaki / Sharon L. Lechter	Elsevier	8	1.555	978-85-35206-23-4	192	https://www.publishnews.com.br/estaticos/uploads/2015/08/oUD56nLXChYZ4cwv9nvJ4t4MnPJRuI4czZpNF9wwzKUmDCI9zrKrspL92Fj844gN9wi06tMBuPZyH9zP.jpg
8	2013	3	8	Casais Inteligentes Enriquecem Juntos	Gustavo Cerbasi	Gente	8	1.153	978-85-73124-39-2	166	https://www.publishnews.com.br/estaticos/uploads/2015/08/EVFSIj8Rh4LT6szujqdO8VT5DeUXtIdvGuO2MRgPXZuBQQXU7R0VSobu3nalHkJl7RfenvHcaO2WaaYB.jpg
8	2013	3	9	Fundamentos De Economia	Marco Antonio S. De Vasconcellos / Manuel E. Garcia	Saraiva	8	1.037	978-85-02067-67-7	248	https://www.publishnews.com.br/estaticos/uploads/livro/fundamentoseconomia.jpg
8	2013	3	10	Não Tenha Medo De Ser Chefe	Bruce Tulgan	Sextante	8	985	978-85-75425-11-4	192	https://www.publishnews.com.br/estaticos/uploads/livro/201009211208366881226018316.jpg
8	2013	3	11	Dobre Seus Lucros	Bob Fifer	Agir	8	935	978-85-22014-07-1	200	https://www.publishnews.com.br/estaticos/uploads/livro/dobre.jpg
8	2013	3	12	Os Segredos Das Apresentações Poderosas	Roberto Shinyashiki	Gente	8	876	978-85-73127-36-2	216	https://www.publishnews.com.br/estaticos/uploads/livro/apresentacoespoderosas.jpg
8	2013	3	13	Nos Bastidores Da Disney	Tom Connellan	Saraiva	8	804	978-85-02102-50-7	176	https://www.publishnews.com.br/estaticos/uploads/2015/07/FfojyAKopX4PNhOX0CjgyWCX29RgzTzImTipYIuMnVzHTdKrFnAMdEbEaxDbdTPUoTFlqmJlE46McoQK.jpg
8	2013	3	14	A Menina Do Vale	Bel Pesce	Casa Da Palavra	8	775	978-85-77342-80-8	160	https://www.publishnews.com.br/estaticos/uploads/2015/08/emkafEhBUIpQEdWNin4yFCey3mDdMiojedtyX84FCkSZo7KvjdW7UwVfudi2jDGX2mxRqUSNuOyYXbFz.png
8	2013	3	15	O Segredo De Luísa	Fernando Dolabela	Sextante	8	637	978-85-75423-38-7	304	https://www.publishnews.com.br/estaticos/uploads/livro/201009211205313921379151436.jpg
8	2013	3	16	A Arte Da Guerra - Coleção Saraiva De Bolso	Sun Tzu	Nova Fronteira	8	558	978-85-20924-89-1	64	https://www.publishnews.com.br/estaticos/uploads/2015/07/eFBTE8wOOwNvXGtzh7fwLiq3O6MI8O37ocfM0g4Q3u5vLTckEfjijgJaQO3SxeeRJYcuMFZTWsngTiwT.jpeg
8	2013	3	17	Rápido E Devagar	Daniel Kahneman	Objetiva	8	554	978-85-39003-83-9	608	https://www.publishnews.com.br/estaticos/uploads/2015/08/99Gf4VaNU0n1IIQT5o7PPMgk2yvDHAH1VFUzmzVFTGDes6LEtiqPfRP4SnnnJfXQp636f9dAYFuUxcNp.jpg
8	2013	3	18	Descubra Seus Pontos Fortes	Marcus Buckingham / Donald O. Clifton	Sextante	8	528	978-85-75423-92-9	272	https://www.publishnews.com.br/estaticos/uploads/2015/08/DyVHuIIcyT5vhLbO5fOY3LwxZAPBiZRyEFWkxFR6IQqoVYtQY1SDZidIInDjc27sUCgarZhN4XospMr1.jpg
8	2013	3	19	Os 7 Hábitos Das Pessoas Altamente Eficazes	Stephen Covey	Bestseller	8	481	978-85-76840-62-6	462	https://www.publishnews.com.br/estaticos/uploads/2016/06/8HR45TGNETLtaHItVBmYl9wHD6ZTZo1LyZHXE3Abx8WwUGYWn0t43FRA40h3ijaRFDWheiutnXDtiRiq.jpg
8	2013	3	20	A Estratégia Do Olho Do Tigre	Renato Grinberg	Gente	8	425	978-85-73127-59-1	173	https://www.publishnews.com.br/estaticos/uploads/livro/olhodetigre.jpg
0	2013	4	1	O Lado Bom Da Vida	Matthew Quick	Intrínseca	Ficção	16.227	978-85-80572-77-3	256	https://www.publishnews.com.br/estaticos/uploads/livro/ladobom.jpg
0	2013	4	2	Cinquenta Tons De Cinza	E. L. James	Intrínseca	Ficção	15.504	978-85-80572-18-6	480	https://www.publishnews.com.br/estaticos/uploads/2015/07/VfObTIjQFh7pBUp86AEjh3Ry5INhh7AZwIO8TpVq7xVscqfjna5WedUMWgWFylC7tyLOgDeurkk2PKGL.jpg
0	2013	4	3	Casamento Blindado	Renato E Cristiane Cardoso	Thomas Nelson Brasil	Autoajuda	14.087	978-85-78600-13-6	272	https://www.publishnews.com.br/estaticos/uploads/2015/07/uvdKw5FLdIeLmP6JQariYXt28JMaZnbVt0M2lzdEva4CHThTm0WMDhd3gKlDBP7oPo6nQMjVgP2ESLVo.jpg
0	2013	4	4	Cinquenta Tons Mais Escuros	E. L. James	Intrínseca	Ficção	12.370	978-85-80572-10-0	512	https://www.publishnews.com.br/estaticos/uploads/2015/07/hJSNV0maq1fYu2NvvPOU7a1cYKBWJI9OoB0mfBkuTivRfflKfALAy4BggfzW0Eztjg6xOxZufRgDxBj7.jpg
0	2013	4	5	Cinquenta Tons De Liberdade	E. L. James	Intrínseca	Ficção	12.269	978-85-80572-16-2	544	https://www.publishnews.com.br/estaticos/uploads/2015/07/V171TSRJ8ZzzBwaXP0vvUlEsb4tt9q3BzsBZZWjr2msm1bojQJWpBSO6jK8fBCWf6yeFkNhXIJmhjlHL.jpg
0	2013	4	6	Eu Não Consigo Emagrecer	Pierre Dukan	Bestseller	Autoajuda	12.142	978-85-76846-49-9	308	https://pictures.abebooks.com/isbn/9788576846499-us.jpg
0	2013	4	7	Sonho Grande	Cristiane Correa	Primeira Pessoa	Negócios	11.255	978-85-75429-10-5	264	https://www.publishnews.com.br/estaticos/uploads/livro/sonhogrande.jpg
